Kernel exec time (ms),,,,,,,,,,,,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,,,,,
pipes,11.4209,N/A,N/A,N/A,N/A,N/A,,,,,,
ndrange,32.0423,128.176,303.911,1290.49,2807.8,inf,,,,,,
ndrange_reduced,5.81243,24.6539,51.0044,224.004,456.496,2045.32,,,,,,
swi,52.9952,223.377,508.72,2235.56,4638.22,inf,,,,,,
swi_reduced_1cu,5.13003,22.6978,60.9601,253.43,535.087,2588.35,,,,,,
swi_reduced_2cu,14.4874,65.659,145.758,616.682,1496.52,6423.07,,,,,,
swi_reduced_3cu,8.96211,37.4604,84.9175,362.813,827.88,4046.34,,,,,,
swi_reduced_4cu,6.13182,29.8538,75.2548,367.553,766.895,3719.83,,,,,,
swi_reduced_5cu,6.68097,25.296,68.417,298.064,780.649,3383.21,,,,,,
swi_reduced_6cu,7.92617,N/A,N/A,N/A,N/A,5024.14,,,,,,
fortran,131.814,513.114,1152.076,4725.283,10438.176,46643.788,,,,,,
fortran_omp,56.387,79.536,128.912,388.29,843.452,3591.305,,,,,,
fortran_epcc,123.069,444.498,1012.956,4013.921,9415.484,44491.529,,,,,,
cpu_swi,130.241,504.758,1148.83,4737,10269.3,47976.6,,,,,,
cpu_swi_reduced,52.2424,206.965,471.296,1967.94,4494.84,19995.2,,,,,,
cpu_ndrange,13.8112,44.583,89.9427,454.521,923.959,3577.73,,,,,,
cpu_ndrange_reduced,1.86077,7.06506,15.4812,91.4077,217.749,819.12,,,,,,
gpu_ndrange,9.19839,37.0155,83.3576,362.317,816.837,3623.72,,,,,,
gpu_ndrange_reduced,4.0597,15.965,35.8133,143.679,327.537,1484.72,,,,,,
,,,,,,,,,,,,
Kernel + mem transfer time (ms),,,,,,,,kernel,Runtime s,Average W, Total J,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,ndrange,3568,27.44192377,97940,
pipes,84.668,N/A,N/A,N/A,N/A,N/A,,ndrange_reduced,1222,24.5530504,30028,
ndrange,118.743,249.066,487.063,1795.02,3840.64,inf,,swi,5402,28.00689448,151293,
ndrange_reduced,64.6727,108.114,174.972,583.582,1212.87,5409.18,,swi_reduced_1cu,1295,24.74498747,32044,
swi,156.77,358.743,704.08,2754.3,5681.82,inf,,pipes,1724.937426,26.41549296,45565,
swi_reduced_1cu,63.4969,104.686,188.082,611.235,1280.57,5864.28,,fortran_epcc,6823,10.26,70003.98,
swi_reduced_2cu,102.927,183.503,326.926,1119.8,2526.88,10821.5,,,,,,
swi_reduced_3cu,101.694,161.541,274.568,873.152,1863.24,8435.05,,,,,,
swi_reduced_4cu,105.404,141.874,232.327,754.405,1538.26,8117.62,,,,,,
swi_reduced_5cu,111.118,146.533,235.269,691.963,1555.8,7785.52,,,,,,
swi_reduced_6cu,115.113,N/A,N/A,N/A,N/A,8304.27,,,,,,
,,,,,,,,,,,,
Throughput (points/ms),,,,,,,,,,,,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,average thrughput:,normalised:,,,perf/watt
pipes,78802.89644,N/A,N/A,N/A,N/A,N/A,,78803,11.34,,,2983.21141
ndrange,28087.87135,28086.38123,26652.53972,25106.7424,25963.38771,N/A,,26779,3.85,,,956.157421
ndrange_reduced,154840.5744,146021.5219,158809.8282,144640.2743,159694.718,158850.4488,,153810,22.14,,,6215.80432
swi,16982.67013,16116.2519,15922.31483,14493.01294,15717.23635,N/A,,15846,2.28,,,577.4376509
swi_reduced_1cu,175437.5705,158605.6798,132873.7978,127845.9535,136239.5274,125523.9825,,142754,20.55,,,5814.104467
swi_reduced_2cu,62122.94822,54828.73635,55571.56382,52539.23416,48713.01419,50583.28805,,54060,7.78,,,755.7729089
swi_reduced_3cu,100422.7799,96101.48317,95386.69885,89302.20251,88056.24003,80294.78492,,91594,13.19,,,
swi_reduced_4cu,146775.3457,120587.6639,107634.3303,88150.55244,95058.64558,87342.70114,,107592,15.49,,,
swi_reduced_5cu,134710.9776,142314.9905,118391.6278,108701.4869,93383.83832,96033.05736,,115589,16.64,,,
swi_reduced_6cu,113547.9052,N/A,N/A,N/A,N/A,64667.78394,,89108,12.83,,,
fortran,6827.802813,7015.984752,7030.786163,6856.732179,6983.97881,6965.557772,,6947,1,,,
fortran_omp,15961.12579,45262.52263,62833.56088,83442.78761,86430.52598,90468.50657,,64067,9.22,,,
fortran_epcc,7312.970772,8099.024068,7996.398659,8071.907743,7742.565332,7302.513699,,7754.230045,1.116198366,,,
cpu_swi,6910.266352,7132.130645,7050.651532,6839.772008,7098.828547,6772.051375,,6967,1,,,
cpu_swi_reduced,17227.38618,17394.2454,17186.65128,16463.91658,16218.59732,16248.89974,,16790,2.42,,,
cpu_ndrange,65164.50417,80748.26728,90057.3365,71283.83507,78899.60485,90811.77171,,79494,11.44,,,
cpu_ndrange_reduced,483670.7385,509549.8127,523215.2546,354455.9156,334789.138,341024.7589,,424451,61.1,,,
gpu_ndrange,97843.20952,97256.55469,97171.7036,89424.45428,89246.69181,89659.2452,,93434,13.45,,,
gpu_ndrange_reduced,221691.258,225493.2665,226172.9581,225502.6831,222570.2745,218829.1395,,221691,31.91,,,
,,,,,,,,,,,,
"BRAMs (only kernel system, SYCL takes 492)",,,,,,,,,,,,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,,,,,
pipes,1188,N/A,N/A,N/A,N/A,N/A,,,,,,
ndrange,1003,1003,1003,1003,1003,1003,,,,,,
ndrange_reduced,350,350,350,350,350,350,,,,,,
swi,821,821,821,821,821,821,,,,,,
swi_reduced_1cu,467,467,467,467,467,467,,,,,,
swi_reduced_2cu,680,678,678,679,678,679,,,,,,
swi_reduced_3cu,951,951,929,929,928,951,,,,,,
swi_reduced_4cu,1090,1090,1090,1089,1090,1089,,,,,,
swi_reduced_5cu,1261,1261,1261,1261,1261,1261,,,,,,
swi_reduced_6cu,1707,N/A,N/A,N/A,N/A,1707,,,,,,
,,,,,,,,,,,,
"ALMs (only kernel system, SYCL takes 89975)",,,,,,,,,,,,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,,,,,
pipes,55858,N/A,N/A,N/A,N/A,N/A,,,,,,
ndrange,86394,86693,86359,86392,86563,86536,,,,,,
ndrange_reduced,20061,20154,20110,20154,20061,20110,,,,,,
swi,158256,158264,158135,158203,158063,158096,,,,,,
swi_reduced_1cu,35803,35680,35722,35724,35727,35729,,,,,,
,,,,,,,,,,,,
"REGs (only kernel system, SYCL takes 98940)",,,,,,,,,,,,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,,,,,
pipes,113874,N/A,N/A,N/A,N/A,N/A,,,,,,
ndrange,211692,211782,211313,211285,211455,211404,,,,,,
ndrange_reduced,79822,79819,79818,79819,79822,79818,,,,,,
swi,220571,220885,220267,220795,220347,220461,,,,,,
swi_reduced_1cu,89890,89871,89810,89808,89934,89819,,,,,,
,,,,,,,,,,,,
"DSPs (only kernel system, SYCL takes 0)",,,,,,,,,,,,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,,,,,
pipes,216,N/A,N/A,N/A,N/A,N/A,,,,,,
ndrange,221,218,225,229,226,229,,,,,,
ndrange_reduced,178,178,178,178,178,178,,,,,,
swi,217,215,220,224,222,224,,,,,,
swi_reduced_1cu,194,193,195,194,193,194,,,,,,
,,,,,,,,,,,,
Frequency (MHz),,,,,,,,,,,,
kernel,100x100,200x200,300x300,600x600,900x900,1900x1900,,,,,,
pipes,209,,,,,,,,,,,
ndrange,224,235,235,226,234,215,,,,,,
ndrange_reduced,250,236,253,236,250,253,,,,,,
swi,204,203,211,196,214,201,,,,,,
swi_reduced_1cu,261,254,238,235,255,235,,,,,,
swi_reduced_2cu,214,207,224,218,206,215,,,,,,
swi_reduced_3cu,226,225,237,230,227,221,,,,,,
swi_reduced_4cu,234,229,222,197,219,204,,,,,,
swi_reduced_5cu,213,214,213,227,197,212,,,,,,
swi_reduced_6cu,203,157,,,,,,,,,,
,,,,,,,,,,,,
CPU: Intel(R) Xeon(R) Gold 6128 CPU 6 cores @ 3.40GHz,,,,,,,,,,,,
CPU EPCC: Intel® Xeon® Platinum 8260 24 cores@ 3.90 GHz,,,,,,,,,,,,
FPGA: Intel PAC Platform (pac_ee00000) Arria 10 FPGA,,,,,,,,,,,,
GPU: Intel(R) UHD Graphics P630,,,,,,,,,,,,
